noise_level,lambda,image,psnr,ssim
0.1,0.06999999999999999,00003865.jpg,27.45111664271199,0.74460644
0.1,0.06999999999999999,00003963.jpg,24.214211723711156,0.6675134
0.1,0.06999999999999999,00003976.jpg,27.663102589810823,0.6961832
0.1,0.06999999999999999,00004041.jpg,24.56014057060223,0.6819841
0.1,0.06999999999999999,00004189.jpg,28.142397604435644,0.744689
0.1,0.06999999999999999,00004207.jpg,27.270402111030585,0.7428482
0.1,0.06999999999999999,00004234.jpg,26.175649361164837,0.7382374
0.1,0.06999999999999999,00004239.jpg,27.30211907236737,0.7360452
0.1,0.06999999999999999,00004268.jpg,20.2486050154001,0.39016083
0.1,0.06999999999999999,00004320.jpg,26.49768853332304,0.7189038
0.1,0.06999999999999999,00004340.jpg,29.738852683308856,0.7900844
0.1,0.06999999999999999,00004410.jpg,26.57340358598357,0.72859365
0.1,0.06999999999999999,00004566.jpg,26.02601760020603,0.69238275
0.1,0.06999999999999999,00004575.jpg,27.675384285245524,0.75209886
0.1,0.06999999999999999,00004585.jpg,25.86835273436349,0.6923354
0.1,0.06999999999999999,00004668.jpg,25.770964309368807,0.63861567
0.1,0.06999999999999999,00004856.jpg,28.246442109786557,0.7906513
0.1,0.06999999999999999,00004905.jpg,27.19575219094313,0.7136848
0.1,0.06999999999999999,00004991.jpg,27.3493321048233,0.72504425
0.1,0.06999999999999999,00005011.jpg,27.17334784297917,0.7041011
0.1,0.06999999999999999,00005107.jpg,26.118604497560696,0.6576614
0.1,0.06999999999999999,00005317.jpg,25.562774826995167,0.634631
0.1,0.06999999999999999,00005378.jpg,28.038421027951014,0.7054811
0.1,0.06999999999999999,00005487.jpg,25.694987101473842,0.6522091
0.1,0.06999999999999999,00005725.jpg,28.621564344173464,0.68504936
0.1,0.06999999999999999,00005736.jpg,27.519376291636945,0.7241998
0.1,0.06999999999999999,00005893.jpg,26.4001132838945,0.6096892
0.1,0.06999999999999999,00007472.jpg,26.47135518590691,0.708654
0.1,0.06999999999999999,00007673.jpg,29.311957972181695,0.7918289
